$Date,$Time,PI-428,PI-430,FI-425,TI-426,TI-432,TI-431,PI-433,HR_A1,QR_A1,QR_SCL_A1
02/15/16,02:47:00,758.0646,2635.761,85.99308,25.14742,107.1152,105.8834,2629.752,1.310287,0.09983437,0.09979154
02/15/16,02:48:00,728.2568,2648.907,80.60993,25.36977,107.6132,106.3674,2644.843,1.35439,0.09782946,0.1014656
02/15/16,02:49:00,739.7278,2591.187,84.4088,24.92633,108.4823,107.2958,2588.865,1.317928,0.09996601,0.1001878
02/15/16,02:50:00,752.3285,2623.042,92.77672,24.86806,108.6091,107.2649,2616.773,1.319228,0.1041228,0.1001098
02/15/16,02:51:00,741.4856,2602.069,84.4809,25.05368,108.7508,107.4718,2596.622,1.323595,0.1001281,0.1005454
02/15/16,02:52:00,716.5851,2510.576,84.68678,24.17528,108.7371,107.5931,2511.417,1.324594,0.1017395,0.1004275
02/15/16,02:53:00,733.8782,2652.871,81.90868,24.47334,108.1741,107.2847,2648.992,1.349564,0.09889558,0.1014936
02/15/16,02:54:00,759.9115,2640.601,86.65741,24.93428,108.3804,107.157,2633.345,1.312576,0.1002122,0.09993158
02/15/16,02:55:00,759.1205,2646.678,83.74786,25.18965,107.8186,106.8909,2643.149,1.319721,0.09947299,0.1002301
02/15/16,02:56:00,767.2046,2653.798,86.83537,24.96777,107.4322,106.527,2648.683,1.30435,0.09993698,0.09969498
02/15/16,02:57:00,772.3413,2645.456,87.62993,24.83916,107.1041,106.1588,2644.007,1.299096,0.09973322,0.09917462
02/15/16,02:58:00,762.3962,2596.641,89.16222,24.48892,107.0919,106.1077,2594.34,1.287984,0.1016147,0.09889035
02/15/16,02:59:00,750.9393,2626.323,84.93938,24.42819,107.0502,106.2984,2622.78,1.315741,0.1000613,0.1001726
02/15/16,03:00:00,762.6501,2646.409,84.99603,24.57675,106.4091,105.6451,2643.058,1.294782,0.09929951,0.09988067
02/15/16,03:01:00,746.4227,2609.145,81.6,24.82845,106.1756,105.3873,2605.652,1.311456,0.09765316,0.0998763
02/15/16,03:02:00,751.4111,2613.816,84.33811,24.1817,106.6588,105.6038,2609.829,1.315073,0.09960356,0.09982506
02/15/16,03:03:00,745.7031,2557.463,86.14342,24.45206,107.2346,106.0057,2555.368,1.281688,0.1011872,0.0991251
02/15/16,03:04:00,733.4576,2631.982,80.05032,24.59296,106.9979,105.4062,2631.721,1.340715,0.09830246,0.1010739
02/15/16,03:05:00,769.5013,2630.221,85.83889,25.04703,106.6158,105.9635,2628.613,1.293144,0.09960641,0.09905177
02/15/16,03:06:00,766.2592,2625.544,85.8231,25.15326,106.9186,105.6609,2620.299,1.282424,0.09880668,0.09876066
02/15/16,03:07:00,766.0181,2605.23,83.84468,25.13078,106.3098,105.6429,2601.708,1.283605,0.09801868,0.09888113
02/15/16,03:08:00,723.4937,2481.597,80.8382,24.42984,107.6398,106.1281,2481.098,1.29623,0.09858923,0.09937435
02/15/16,03:09:00,723.8257,2633.115,87.82421,23.89359,106.3813,105.5255,2624.042,1.354972,0.1028703,0.1015649
02/15/16,03:10:00,748.0212,2633.483,82.38621,24.97853,106.1218,105.1804,2628.807,1.321397,0.09829763,0.1003318
02/15/16,03:11:00,748.4808,2614.031,81.65073,24.89903,106.4273,105.3711,2611.663,1.313026,0.09807473,0.09985249
02/15/16,03:12:00,766.6382,2617.045,85.80406,25.05719,106.4549,105.5392,2615.984,1.295445,0.09922969,0.0992775
02/15/16,03:13:00,768.4296,2638.718,87.61833,25.22369,107.0227,106.0315,2635.393,1.297986,0.1005544,0.09934642
02/15/16,03:14:00,754.2737,2666.418,85.3096,25.34221,107.423,106.2544,2663.304,1.328732,0.09979427,0.1005679
02/15/16,03:15:00,733.8055,2550.443,81.05175,24.86229,108.2304,106.9329,2549.476,1.313773,0.09869625,0.1000596
02/15/16,03:16:00,695.9839,2572.974,81.12049,24.13353,108.2831,107.0554,2572.034,1.37143,0.1003964,0.1021712
02/15/16,03:17:00,719.8633,2591.509,82.3312,24.3889,108.4501,107.2012,2588.907,1.353254,0.1003588,0.1011813
02/15/16,03:18:00,732.4744,2583.024,87.94575,24.63232,108.1722,107.0398,2578.877,1.326268,0.1018313,0.1003505
02/15/16,03:19:00,759.0521,2640.752,85.86731,25.17943,107.3756,106.731,2633.806,1.316753,0.09965874,0.09996659
02/15/16,03:20:00,764.0247,2633.662,86.65527,25.05821,107.5959,106.6613,2632.916,1.307652,0.1001893,0.09962065
02/15/16,03:21:00,734.2285,2604.713,76.85066,25.24539,107.3387,106.4774,2599.532,1.331549,0.09628881,0.1008145
02/15/16,03:22:00,749.2004,2590.647,84.47678,24.29855,107.5719,106.62,2603.167,1.309931,0.09895758,0.09960014
02/15/16,03:23:00,758.4772,2649.028,86.04553,24.87517,107.0768,106.3831,2644.6,1.315042,0.1000363,0.1001678
02/15/16,03:24:00,762.9156,2644.261,84.51115,25.06572,106.9836,105.8724,2640.627,1.302638,0.09850138,0.09955516
02/15/16,03:25:00,760.6177,2635.749,84.77699,24.93797,106.8159,105.8942,2631.021,1.299869,0.09849551,0.09953777
02/15/16,03:26:00,766.5833,2628.58,88.70071,24.966,106.6653,105.5958,2620.215,1.29207,0.1007823,0.09898943
02/15/16,03:27:00,758.5394,2634.038,84.50497,24.88524,106.6392,105.4702,2625.848,1.30353,0.09920657,0.09972847
02/15/16,03:28:00,720.6519,2520.564,81.64764,24.47424,106.8677,105.9538,2517.824,1.318244,0.09915558,0.1001616
02/15/16,03:29:00,740.9973,2637.422,84.87137,24.2191,106.8143,106.1383,2628.082,1.332896,0.1007335,0.1006571
02/15/16,03:30:00,768.3698,2634.697,87.98309,24.97798,106.5672,105.9307,2634.282,1.295427,0.100752,0.0994764
02/15/16,03:31:00,765.3149,2604.866,84.81827,24.9476,107.0301,105.6823,2605.284,1.294353,0.09918221,0.09896602
02/15/16,03:32:00,768.0701,2605.925,84.92603,24.93007,106.3744,105.5748,2602.946,1.289907,0.09861808,0.0990136
