$Date,$Time,PI-501B,PI-502B,PDI-501B,PI-701B,PDI-701B,PI-731B,PZI-732B,PI-741B,PZI-742B
02/15/16,02:17:00,106.6984,516.2991,7.504463,7034.143,19.61895,105.3699,105.5627,102.8102,102.7572
02/15/16,02:18:00,106.629,516.7341,7.59594,7292.779,20.04595,105.8033,105.9731,102.908,102.9199
02/15/16,02:19:00,106.6283,515.5476,7.618637,7304.968,20.05237,105.2651,105.417,102.3949,102.3411
02/15/16,02:20:00,106.7848,514.6814,7.623329,7320.147,20.09114,104.7689,104.9557,101.7402,101.7159
02/15/16,02:21:00,106.7368,515.1172,7.678986,7407.425,20.19417,104.8812,105.1216,102.4861,102.5322
02/15/16,02:22:00,106.6819,516.0184,7.56134,7076.736,19.52478,104.3243,104.5016,102.2635,102.2824
02/15/16,02:23:00,106.6266,516.5378,7.583771,7092.392,19.66089,105.2252,105.383,102.4056,102.3578
02/15/16,02:24:00,106.6378,516.1677,7.633514,7340.955,20.07983,105.6279,105.8011,102.643,102.6298
02/15/16,02:25:00,106.608,516.1268,7.555084,7421.521,20.1739,105.7322,105.4661,103.2407,103.1788
02/15/16,02:26:00,106.628,516.5522,7.575455,7311.289,20.00559,105.3267,105.5123,103.0876,103.0762
02/15/16,02:27:00,106.71,515.3656,7.616615,7297.012,19.99639,104.7272,104.8649,102.029,102.0472
02/15/16,02:28:00,106.7338,515.0146,7.658806,7115.588,19.7188,104.5961,104.7769,101.9717,101.9631
02/15/16,02:29:00,106.641,515.7625,7.66468,7148.883,19.76985,104.3199,104.4867,101.6869,101.6595
02/15/16,02:30:00,106.6422,516.6135,7.648315,7041.553,19.59932,104.8215,105.0296,102.0639,102.0806
02/15/16,02:31:00,106.6108,515.7445,7.631989,7074.921,19.63093,105.2422,105.4498,102.373,102.3518
02/15/16,02:32:00,106.6337,516.6202,7.596474,7363.821,20.11016,105.6862,105.8311,102.7222,102.7511
02/15/16,02:33:00,106.6045,515.9012,7.592468,7343.262,20.03853,105.4763,105.6456,102.9339,102.9175
02/15/16,02:34:00,106.6481,516.0906,7.604332,7217.331,19.7884,105.2076,105.3604,102.8986,102.9102
02/15/16,02:35:00,106.6262,516.492,7.567253,7213.596,19.96087,105.5734,105.7534,102.6745,102.6749
02/15/16,02:36:00,106.759,515.0056,7.647209,7303.335,20.07576,105.5314,105.6823,102.1311,102.1125
02/15/16,02:37:00,106.8127,514.5198,7.664528,7331.277,20.07334,105.3313,105.5055,102.9735,102.9096
02/15/16,02:38:00,106.7195,515.3464,7.665596,7302.46,20.00337,105.1075,105.2814,102.8523,102.8126
02/15/16,02:39:00,106.6796,516.7401,7.581139,7163.754,19.79209,105.2997,105.5129,102.8454,102.8213
02/15/16,02:40:00,106.6862,515.8984,7.607079,7192.246,19.86985,105.1012,105.306,102.5363,102.5082
02/15/16,02:41:00,106.5421,516.8042,7.59201,7303.113,20.03406,105.6923,105.8175,102.698,102.6935
02/15/16,02:42:00,106.6437,516.3736,7.543564,7068.405,19.60357,104.6364,104.8738,102.4854,102.5389
02/15/16,02:43:00,106.6463,515.7108,7.615738,7156.256,19.80415,104.9907,105.1248,101.9193,101.9138
02/15/16,02:44:00,106.7528,514.55,7.674599,7351.892,20.11587,105.4565,105.6215,102.4581,102.4517
02/15/16,02:45:00,106.7405,514.8414,7.673836,7316.534,20.01392,105.0505,105.1621,102.8381,102.756
02/15/16,02:46:00,106.6906,515.9926,7.611732,7320.645,20.03215,105.2092,105.3588,102.7524,102.7327
02/15/16,02:47:00,106.6169,516.6527,7.580681,7307.94,20.03987,105.2933,105.5084,102.902,102.8768
02/15/16,02:48:00,106.6787,516.0245,7.646523,7344.751,20.12361,104.9865,105.1556,102.2407,102.2068
02/15/16,02:49:00,106.6236,516.1095,7.595558,7227.734,19.90811,104.6133,104.9739,102.7607,102.6789
02/15/16,02:50:00,106.6207,516.5921,7.590828,7218.738,19.80886,104.9335,105.1829,102.5648,102.522
02/15/16,02:51:00,106.6824,515.8241,7.619438,7181.9,19.78413,104.829,104.9822,102.3115,102.2703
02/15/16,02:52:00,106.7163,515.1178,7.633667,7002.625,19.42527,104.1607,104.329,101.9884,101.9376
02/15/16,02:53:00,106.7036,515.7533,7.641983,7332.959,20.10623,105.7545,105.4838,102.2062,102.1939
02/15/16,02:54:00,106.7191,516.7157,7.580032,7383.167,20.15606,105.5646,105.7218,102.9606,102.9531
02/15/16,02:55:00,106.6626,515.9053,7.606583,7378.104,20.1709,105.3861,105.5466,102.7348,102.7286
02/15/16,02:56:00,106.6197,516.7982,7.596245,7317.212,20.05801,105.6699,105.8103,102.8733,103.018
02/15/16,02:57:00,106.65,516.1765,7.394562,7292.071,20.00027,105.551,105.7398,102.7322,102.6766
02/15/16,02:58:00,106.6261,516.3298,7.592392,7097.598,19.70408,105.431,105.63,102.8688,102.8293
02/15/16,02:59:00,106.6263,516.7506,7.591057,7152.808,19.80459,105.6865,105.8796,102.5593,102.5455
